show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,IMDB_Rating,year_added
s1109,Movie,Spree,,,United States,2020-12-18,2020,93 min,,"Comedy, Horror, Thriller","Seeking social media fame, rideshare driver Kurt comes up with the perfect way to go viral: murdering his passengers via livestream.",5.9,2020
s1110,Movie,The Hero,,,United States,2020-12-18,2017,R,97 min,Drama,"World-renowned icon Sam Elliott stars as an aging actor confronting mortality in THE HERO, a beautifully poignant celebration of life and the legacies we leave behind. Also starring Laura Prepon, Nick Offerman, and Krysten Ritter.",7.5,2020
s1111,Movie,The Jinkx & DeLa Holiday Special,,,United States,2020-12-18,2020,67 min,,Comedy,"Drag Queens, sentient eggnog, song and dance, a naked man. Hold on to your sugarplums and get ready for a holiday drag spectacular that's as magical as a flying reindeer and as unexpected as a virgin birth!",7.7,2020
s1114,Movie,Au Pair 3: Adventure in Paradise,,,,2020-12-16,2009,TV-PG,90 min,"Comedy, Drama",Oliver surprises the family with a vacation to Puerto Rico.,5.0,2020
s1115,Movie,Dirt Music,,,"Australia, United Kingdom",2020-12-15,2019,104 min,,Romance,"The fervent attraction between Georgie (Kelly Macdonald), a woman stuck in a loveless relationship, and Lu (Garrett Hedlund), a musician with a tragic past, gets the better of them when secrets are uncovered that will change their lives.",5.3,2020
s1116,Movie,Once Upon a Time in Venice,,,United States,2020-12-15,2017,94 min,,"Action, Adventure, Comedy","When Steve Ford's (Bruce Willis) beloved dog, Buddy, is stolen by local thugs, he makes a questionable alliance with their devious leader, Spyder (Jason Momoa) in order to set things straight and get Buddy back where he belongs.",5.3,2020
s1117,Movie,The Evil in Us,,,Canada,2020-12-15,2016,91 min,,Horror,The good times quickly turn into a nightmare when six friends on a remote island unknowingly take a new bio-active drug containing a virus that causes fits of psychotic rage.,4.7,2020
s1118,Movie,The Rewrite,,,United States,2020-12-15,2015,107 min,,"Comedy, Romance","Keith Michaels was an award-winning screenwriter, but divorce and a string of unsuccessful films have left him with nothing but bad debts and blank pages. So when his agent finds him a job as teacher at a remote university, Keith can't say no.",6.3,2020
s1120,Movie,Endless,,,United States,2020-12-12,2020,94 min,,"Drama, Romance","When madly in love high school graduates Riley and Chris are separated by a tragic car accident, Riley blames herself for her boyfriendâs death while Chris is stranded in limbo. The two find a way to connect in a love story that transcends life and death.",4.9,2020
s1121,Movie,Rent-a-Pal,,,,2020-12-11,2020,,108 min,Thriller,"A strange VHS tape allows a lonely bachelor named David to find companionship with Andy â its charming and charismatic host. However, Andy's friendship comes at a cost, and David desperately struggles to afford the price of admission.",6.3,2020
s1123,Movie,Rogue,,,,2020-12-11,2020,R,106 min,"Action, Thriller","Megan Fox (TRANSFORMERS) plays a battle-hardened mercenary in the wilds of Africa whose team must not only survive against a gang of murderous rebels they rescued hostages from, but a pack of bloodthirsty lions they encounter.",8.1,2020
s1124,Movie,Spy Cat,,,"Germany, Belgium",2020-12-11,2018,PG,85 min,"Adventure, Comedy, Family",A pampered house cat sets off on a wild adventure as a secret agent.,5.4,2020
s1125,Movie,The Fairy Princess and the Unicorn,,,"Germany, Luxembourg",2020-12-08,2019,TV-PG,80 min,"Action, Adventure, Family","In the magical world of Bayala, a pair of twin fairies set off to save a dragon from the kingdom's evil fairy queen.",4.7,2020
s1126,Movie,Valley Girl,,,United States,2020-12-07,2020,PG-13,103 min,Romance,A valley girl and a punk rocker from the city defy their parents and friends to stay together.,6.4,2020
s1127,TV Show,Attack on Titan,,,Japan,2020-12-06,2013,TV-MA,4 Seasons,"Action, Anime, International","From the director of Death Note comes Attack on Titan. Many years ago, humanity was forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. This is their story.",9.1,2020
s1128,Movie,How to Fake a War,,,United Kingdom,2020-12-06,2019,84 min,,Comedy,"When an unexpected outbreak of peace leads to a cease fire between Ukbar forces and Georgian rebels, arrogant rock star Harry Hope fears for the success of his heavily hyped Piece of Peace global charity concert.",4.5,2020
s1129,Movie,The Secret Garden,,,"United Kingdom, France, United States, China",2020-12-06,2020,PG,100 min,"Drama, Family, Science Fiction","A new take on the beloved classic novel, a young orphan girl who, after being sent to live with her uncle, discovers a magical garden on the grounds of his estate.",7.3,2020
s1130,TV Show,Your Honor,,,United States,2020-12-06,2020,TV-MA,1 Season,"Crime, Drama, Thriller","A respected judge's son is involved in a hit-and-run that leads to a high-stakes game of lies, deceit and impossible choices.",7.6,2020
s1131,Movie,Black Ops,,,United Kingdom,2020-12-05,2019,103 min,,"Action, Horror, Thriller","Trapped on a never-ending stairwell, members of a black ops team confront a mysterious and terrifying evil while trying to climb to the top.",6.5,2020
s1132,Movie,God's Own Country,,,United Kingdom,2020-12-05,2017,105 min,,"Drama, Romance",A young farmer numbs his frustrations with drinking and casual sex until a Romanian migrant worker sets him on a new path.,7.6,2020
s1133,Movie,It Had to Be You,,,United States,2020-12-05,2016,R,85 min,"Comedy, Romance","Sonia (Cristin Milioti), a neurotic and charming jingle writer, dreams of having an exciting life. The sudden marriage proposal and subsequent ultimatum from her easygoing boyfriend (Dan Soder) force Sonia to confront whether she wants to join the ranks of her married friends or pursue her fantasies.",5.6,2020
s1134,Movie,Mr. Jones,,,"Poland, United Kingdom, Ukraine",2020-12-05,2020,119 min,,"Drama, History, Thriller",Welsh journalist Gareth Jones risks his life to expose the truth about the devastating famine in the Soviet Union in the early 1930s.,6.9,2020
s1135,Movie,Waiting for the Barbarians,,,"Italy, United States",2020-12-05,2019,114 min,,"Drama, History",A local magistrate reevaluates his loyalty to his nation while holed up at a remote outpost.,5.9,2020
s1136,Movie,Brassic,,,United Kingdom,2020-12-04,2019,2 Seasons,,Comedy,"Vinnie, a Lancashire lad with bipolar disorder, and Dylan, his razor-smart best mate, are inseparable and utterly co-dependant. But Dylan's girlfriend Erin might just shake things up for good with her plans to leave town and start a new life for herself and her kid, Tyler. Dylan is faced with the impossible decision between a fresh start with the love of his life or staying behind with his inseparable gang of mates that he can't live without.",8.4,2020
s1137,TV Show,Deutschland 89,,,Germany,2020-12-04,2020,TV-MA,1 Season,"Drama, Thriller","As Germany reinvents itself for the fourth time in the 20th century, Martin Rauch finds himself in limbo during the peaceful revolution around him; both the existence of their organization and future of his country left uncertain.",7.7,2020
s1138,Movie,MACHO: THE HECTOR CAMACHO STORY,,,United States,2020-12-04,2020,TV-14,,"Documentaries, Sports","The rise, fall and untimely death of boxing?s most colorful champion.",7.5,2020
s1139,Movie,She Dies Tomorrow,,,United States,2020-12-04,2020,R,85 min,"Drama, Thriller",A woman's conviction that she will die tomorrow spreads like a contagion through a town.,5.0,2020
s1140,Movie,The Hardy Boys,,,Canada,2020-12-04,2020,1 Season,,"Action, Adventure, Drama","After a family tragedy strikes, Frank Hardy and his brother Joe are forced to move from the big city to their parentâs hometown of Bridgeport for the summer. Staying with their Aunt Trudy, Frank and Joeâs quiet summer quickly comes to a halt when they discover their Dad, detective Fenton Hardy has taken on a secret investigation. Realizing that their Dad may be onto something the boys take it upon themselves to start an investigation of their own, and suddenly everyone in town is a suspect",7.0,2020
s1141,Movie,Rebuilding Paradise,,,United States,2020-12-02,2020,TV-14,88 min,Documentaries,"Ron Howardâs Rebuilding Paradise follows the Paradise community one year after the 2018 Camp Fire, as they come together to recover what was lost.",7.0,2020
s1142,Movie,Angels & Demons,,,"United States, Italy",2020-12-01,2009,PG-13,139 min,"Mystery, Thriller","In Ron Howard's thrilling follow-up to The Da Vinci Code, expert symbologist Robert Langdon (Tom Hanks) follows ancient clues on a heart-racing hunt through Rome to find the four Cardinals kidnapped by the deadly secret society, the Illuminati.",6.7,2020
s1143,Movie,Euphoria,,,"United Kingdom, Sweden, Germany",2020-12-01,2017,R,98 min,Drama,Two estranged sisters reconnect when one suggests traveling to a mysterious and remote castle.,8.3,2020
s1144,TV Show,Future-Worm!,,,United States,2020-12-01,2016,TV-Y7,1 Season,"Adventure, Kids, Science Fiction","Follow Danny and Future-Worm! while they navigate through space, time and study hall, embarking on adventures and spontaneously making up new ones with the help of their time machine lunch box.",5.4,2020
s1145,TV Show,Kick Buttowski: Suburban Daredevil,,,United States,2020-12-01,2011,TV-Y7,2 Seasons,"Adventure, Cartoons, Kids","Kick Buttowski is an extraordinary kid determined to become the worlds greatest daredevil. Small in stature, but big in heart, Kick takes on every stunt with unwavering enthusiasm.",6.7,2020
s1146,TV Show,Lupin the 3rd Part 5,,,Japan,2020-12-01,2018,TV-14,1 Season,"Action, Adventure, Anime","Lupin III, the most wanted thief in the world, commits risky capers with his intrepid gang â consisting of a sharpshooter, a master swordsman and a femme fatale â while staying one step ahead of a highly determined Interpol agent.",7.9,2020
s1147,TV Show,Pickle and Peanut,,,United States,2020-12-01,2015,TV-Y7,2 Seasons,"Comedy, Kids",Two unlikely friends â an emotional pickle and a freewheeling peanut â have exciting adventures.,4.4,2020
s1148,Movie,Shared Rooms,,,United States,2020-12-01,2016,75 min,,"Comedy, Drama, LGBTQ+","In this romantic comedy, married Laslo and Cal take in a gay teen relative; Sid and Gray have a casual online hookup which unexpectedly deepens; Julian and Dylan confront their secret mutual attraction when forced to share a bed for a week.",5.8,2020
s1149,Movie,The Da Vinci Code,,,"United States, Malta, France, United Kingdom",2020-12-01,2006,TV-14,149 min,"Adventure, Drama, Mystery",A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years â which could shake the foundations of Christianity.,6.6,2020
s1150,Movie,The Perfect Wedding,,,United States,2020-12-01,2012,82 min,,"Comedy, Drama, LGBTQ+","Gavin and Paul meet and fall in love over a weekend where family and friends are planning the wedding of Paulâs sister. But Gavin is posing as the boyfriend of Paulâs ex, leading to a classic comic quandary as they try to ignore their feelings.",6.2,2020
s1151,TV Show,Wander Over Yonder,,,"United States, Canada, Ireland",2020-12-01,2015,TV-Y7,2 Seasons,"Adventure, Comedy, Kids","Best friends, eternally-optimistic intergalactic traveler and constant do-gooder Wander and his quick-tempered but loyal steed Sylvia, travel through the cosmos happening upon one freewheeling adventure after another, making new friends (and foes) all while battling numerous forces of evil.",7.3,2020
s1152,TV Show,Zeke and Luther,,,United States,2020-12-01,2009,TV-Y7,3 Seasons,"Comedy, Family, Kids","Best friends Zeke and Luther have set their sights on becoming world-famous skateboarders. Together they attempt to master the coolest tricks and enter the biggest competitions. Between skating and summer school, thereâs also donut deliveries, girls, and a pair of Tony Hawkâs boxers! Zeke and Luther are determined to be the best skateboarders in Pacific Terrace, no matter what obstacles stand in their way!",6.4,2020
s1153,Movie,The Big Ugly,,,United States,2020-11-29,2020,R,106 min,"Crime, Drama",London mob bosses invest in a West Virginia oil deal in hopes of laundering dirty money.,5.1,2020
s1154,Movie,Blippi's Snowflake Scavenger Hunt,,,,2020-11-27,2020,,52 min,Kids,Blippi embarks on an amazing holiday scavenger hunt adventure to three winter-themed locations to discover who his Secret Snowflake present is from!,4.0,2020
s1155,Movie,Centigrade,,,United States,2020-11-27,2020,89 min,,"Drama, Thriller","A man and his pregnant wife become trapped in their car when a storm buries them underneath layers of snow and ice. As supplies dwindle and temperatures plunge, the couple must battle the elements and hypothermia in a desperate fight for survival.",4.4,2020
s1156,Movie,Bombshell,,,"Canada, United States",2020-11-26,2019,R,109 min,Drama,"The provocative real story of three whip-smart, ambitious, strong women who anchored one of America's most powerful news networks â becoming headlines themselves when they risked everything to stand up to the man who made them famous.",6.8,2020
s1157,Movie,Happiest Season,,,"United States, Canada",2020-11-25,2020,PG-13,102 min,"Comedy, Romance",A woman learns that her girlfriend hasn't come out to her conservative parents.,6.6,2020
s1158,TV Show,Peyton's Places,,,,2020-11-25,2019,,2 Seasons,"Documentaries, Sports",Hall of Famer Peyton Manning visits places associated with the NFL's 100 years of history.,8.6,2020
s1159,Movie,UFC 252,,,,2020-11-25,2020,TV-14,,Sports,,7.1,2020
s1160,TV Show,Black Narcissus,,,"United Kingdom, United States",2020-11-24,2020,TV-MA,1 Season,Drama,"When the young nuns of St. Faith attempt to establish a mission at a remote clifftop palace once known as the âHouse of Women,â its haunting mysteries awaken forbidden desires that seem destined to repeat a terrible tragedy.",7.7,2020
s1161,Movie,Between the World and Me,,,United States,2020-11-22,2020,TV-14,,"Documentaries, Drama, News","The special will include powerful readings from Ta-Nehisi Coates' book, it will also incorporate documentary footage from the actors' home life, archival footage, and animation.",7.4,2020
s1162,TV Show,The Great American Baking Show: Holiday Edition,,,,2020-11-22,2016,TV-PG,2 Seasons,"Cooking & Food, Family, Lifestyle & Culture","Showcasing bakers from around the country each week, The Great American Baking Show: Holiday Edition puts their best recipes forward as they compete in holiday-themed challenges, all hoping to be named America's Best Amateur Baker. Joining as host this season, Spice Girl and television personality Emma Bunton, alongside returning host Anthony ""Spice"" Adams, will present bakers with weekly challenges. Each week, James Beard Award-winning pastry chef Sherry Yard and baker and best-selling cookbook author Paul Hollywood will taste decadent and delicious treats while sharing advice and commentary.",8.1,2020
s1163,TV Show,Burden of Truth,,,Canada,2020-11-21,2018,TV-PG,3 Seasons,Drama,"A big city lawyer returns to her hometown to take on what she thinks is a simple case, only to find herself in a fight for justice for a group of sick girls.",7.3,2020
s1164,TV Show,Animaniacs,,,United States,2020-11-20,2020,TV-G,1 Season,"Comedy, Kids","Theyâre back! The Warner brothers, Yakko and Wakko, and the Warner sister Dot, have a great time wreaking havoc and mayhem in the lives of everyone they meet. After returning to their beloved home, the Warner Bros. water tower, the siblings waste no time in causing chaos and comic confusion as they run loose through the studio, turning the world into their personal playground. Joining Yakko, Wakko and Dot, fan-favorite characters Pinky and the Brain also return to continue their quest for world domination.",7.9,2020
