show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,IMDB_Rating,year_added
s1,Movie,Ricky Velez: Here's Everything,,,,2021-10-24,2021,TV-MA,,"Comedy, Stand Up",âComedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special.,6.5,2021
s2,Movie,Silent Night,,,,2021-10-23,2020,,94 min,"Crime, Drama, Thriller","Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job.",5.3,2021
s3,Movie,The Marksman,,,,2021-10-23,2021,PG-13,108 min,"Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,5.7,2021
s4,Movie,Gaia,,,,2021-10-22,2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,5.6,2021
s5,Movie,Settlers,,,,2021-10-22,2021,,104 min,"Science Fiction, Thriller",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,4.8,2021
s7,Movie,The Evil Next Door,,,,2021-10-21,2020,,88 min,"Horror, Thriller","New to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son Lucas. Soon, strange noises start coming from the empty house adjoining theirs. Also, who is Lucasâs new friend?",5.7,2021
s8,TV Show,The Next Thing You Eat,,,,2021-10-21,2021,,1 Season,"Cooking & Food, Documentaries, Lifestyle & Culture","With the unique insights and experience of Ugly Delicious creators Morgan Neville and David Chang take a tangy look at food and our relationship to it past, present and future. Why do we eat what we eat and are we missing something better? What will we be eating in the future and why?",7.1,2021
s9,TV Show,Queens,,,,2021-10-20,2021,TV-14,1 Season,"Drama, Music",Four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,7.1,2021
s10,TV Show,The Bachelorette,,,United States,2021-10-20,2003,TV-14,3 Seasons,"Reality, Romance","ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",3.5,2021
s11,TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,,2021-10-19,2021,,1 Season,"Music, News",The ABC News special explores the inspiring rise of women in hip-hop and is narrated by Cheryl âSaltâ James of Salt-N-Pepa.,5.6,2021
s12,Movie,Dream Horse,,,,2021-10-18,2020,PG,113 min,"Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,6.9,2021
s13,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,2021-10-18,2021,,,News,George Stephanopoulos sits down with former MI6 spy Christopher Steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the Steele dossier.,5.5,2021
s14,TV Show,Wakefield,,,,2021-10-18,2021,,1 Season,"Drama, Mystery","With a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse Nik Katira is the most stable person at Wakefield mental health unit in the picturesque Blue Mountains of Australia. But as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness.",6.3,2021
s15,TV Show,Home Sweet Home,,,,2021-10-16,2021,TV-PG,1 Season,Reality,"Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay.",7.3,2021
s18,TV Show,America's Book of Secrets,,,United States,2021-10-15,2012,TV-14,1 Season,"Documentaries, History","America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",6.7,2021
s19,TV Show,Beyond Oak Island,,,,2021-10-15,2020,TV-PG,1 Season,"History, Reality","From pirates such as Blackbeard and outlaws like Jesse James, to Aztec gold, priceless historical artifacts from American history and sunken treasure ships, âBeyond Oak Islandâ digs deep into the many treasure quests across the globe.",6.3,2021
s20,TV Show,Beyond Scared Straight,,,United States,2021-10-15,2011,TV-14,6 Seasons,"Documentaries, Reality, Teen","Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",7.3,2021
s21,Movie,Cheer Camp Killer,,,,2021-10-15,2020,TV-14,87 min,Thriller,"Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way.",4.7,2021
s22,TV Show,Hoarders,,,United States,2021-10-15,2009,TV-PG,7 Seasons,"Health & Wellness, Lifestyle & Culture, Reality",Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.,6.5,2021
s23,TV Show,Little Women: Atlanta,,,United States,2021-10-15,2016,TV-14,2 Seasons,"Black Stories, Reality","In Little Women: Atlanta, the little ladies turn it up wherever they go out, especially with club promoter Emily leading the charge. There is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person.",5.5,2021
s24,TV Show,Marrying Millions,,,,2021-10-15,2019,TV-14,2 Seasons,"Documentaries, Reality, Romance","Marrying Millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. Regular people are whisked off their feet and plunged into a high-end life of riches",5.3,2021
s25,TV Show,Nightwatch,,,United States,2021-10-15,2015,TV-14,4 Seasons,"Documentaries, Drama, Mystery","""Nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases.",7.2,2021
s26,TV Show,Seven Year Switch,,,,2021-10-15,2017,TV-14,1 Season,Reality,"In Seven Year Switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage.",5.5,2021
s27,Movie,Sleepwalker,,,,2021-10-15,2017,TV-14,88 min,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,5.1,2021
s28,TV Show,Swamp People,,,United States,2021-10-15,2010,TV-PG,3 Seasons,"Documentaries, Reality","Deep in the heart of Louisiana lies America's largest swamp â a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.",6.2,2021
s29,TV Show,Unsolved,,,,2021-10-15,2019,,2 Seasons,"Documentaries, News","More than 750 people are missing from Houston and the surrounding towns of the major Texas city. Among the missing are mothers written off by police as runaways. They are hardworking couples who have been targeted. And they are upstanding members of their community who simply slowed down to give someone a ride. Some have been found, their bodies dumped in the infamous Texas Killing Fields. Others have vanished and their cases gone cold. A year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. But, detectives quietly keep working. They work for the women whose stories are forgotten. They work for the families ripped apart by seemingly random attacks. DNA is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. But when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?",7.3,2021
s30,TV Show,Acapulco Shore,,,,2021-10-14,2014,TV-14,3 Seasons,"Latino, Reality","A group of young Mexicans live together and share fun, drama and a lot of alcohol.",3.4,2021
s31,TV Show,Catfish MÃ©xico,,,,2021-10-14,2018,,1 Season,"Latino, Reality","Porque sabemos que no es fÃ¡cil encontrar el amor verdadero en este mundo digital, MTV Catfish llega a MÃ©xico para salvarte de las mentiras. Todos nos merecemos saber quiÃ©n estÃ¡ detrÃ¡s de ese perfil falso.",6.7,2021
s32,Movie,Censor,,,,2021-10-14,2021,,84 min,Horror,A film censor is assigned to review a disturbing film that recalls her childhood memories. She begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,6.0,2021
s33,TV Show,Dani Who?,,,,2021-10-14,2019,,1 Season,"Latino, Mystery, Science Fiction",A girl disappears in the town of San Gregorio and a group of teenagers decide to investigate what happened.,6.9,2021
s34,TV Show,La Culpa es de CortÃ©s,,,,2021-10-14,2017,,4 Seasons,"Comedy, Latino","Cinco reconocidos comediantes mexicanos, de distintas regiones del paÃ­s, se juntan para comentar de manera Ã¡cida y divertida las costumbres y tradiciones de MÃ©xico.",7.3,2021
s35,Movie,Out of Death,,,,2021-10-14,2021,NOT RATED,95 min,Thriller,"When Shannon (Jaime King) sets out on a hike to spread her deceased fatherâs ashes, she witnesses a corrupt sheriffâs deputy, Billie (Lala Kent) brutally murder a drug dealer. Having seen Shannon witness the murder, Billie and her cohorts set off to permanently silence Shannon. On the run from the dirty cops, Shannon stumbles into and recruits the help of a retired cop, Jack Harris (Bruce Willis).",3.3,2021
s36,TV Show,The Real Housewives of Orange County,,,United States,2021-10-14,2006,TV-14,15 Seasons,Reality,"The O.C. ladies are back as the series goes behind the gates for a voyeuristic look at the scandalous truths, mending friendships, rocky marriages, sizzling romances, and ever-changing loyalties inside the wealthy Southern California suburb.",4.3,2021
s39,Movie,CHIPS,,,,2021-10-13,2017,R,101 min,"Action, Adventure, Comedy",Ponch and Jon are together again in this hilarious update of the popular TV series that follows a mismatched pair of motorcycle cops.,6.4,2021
s40,TV Show,Dopesick,,,,2021-10-13,2021,TV-MA,1 Season,Drama,"From Executive Producer Danny Strong and starring and executive produced by Michael Keaton, âDopesickâ examines how one company triggered the worst drug epidemic in American history. The series takes viewers to the epicenter of Americaâs struggle with opioid addiction, from the boardrooms of Big Pharma, to a distressed Virginia mining community, to the hallways of the DEA. Defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. The limited series is inspired by the New York Times bestselling book by Beth Macy.",8.6,2021
s41,Movie,In the Crease,,,,2021-10-13,2020,,,Sports,Post-game analysis and highlight show airing each night throughout the NHL season from Barry Melrose and Linda Cohn.,8.3,2021
s42,TV Show,"Champaign, Ill",,,,2021-10-12,2018,,1 Season,Comedy,"After the death of their best friend, a wildly famous rap icon, Alf and Ronnie lose their lavish lifestyle and are forced to return home to Champaign, Illinois. In order to get back what the",7.2,2021
s43,Movie,The Loneliest Whale: The Search for 52,,,,2021-10-12,2021,PG,97 min,Documentaries,"A cinematic quest to find the â52 Hertz Whale.â As the film embarks on its engrossing journey, we uncover what this whaleâs lonely plight teaches us not only about our relationship to the ocean, but to each other.",6.5,2021
s44,Movie,Gunda,,,,2021-10-11,2020,G,93 min,Documentaries,"Experiential cinema in its purest form, GUNDA is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows.",7.1,2021
s45,TV Show,Buried,,,,2021-10-10,2021,TV-MA,1 Season,"Crime, Documentaries","In January 1989, in a flash Eileen Franklin recalled being eight years old and witnessing the rape and murder of her best friend, Susan Nason. She also remembered the identity of the murderer ? it was Eileen?s own father, George Franklin. The ensuing trial was the first criminal case based on a repressed memory, and it raised questions and issues that continue to challenge the reliability of memory and of criminal testimony to this day. Eileen Franklin?s memories were terrifying beyond imagining... but were they true beyond a reasonable doubt?",7.0,2021
s47,Movie,G.I. Joe: Retaliation,,,,2021-10-10,2013,PG-13,105 min,"Action, Adventure",The Greatest American Heroes are back to face COBRA in a new adventure.,5.7,2021
s48,Movie,Rogue Hostage,,,,2021-10-10,2021,,94 min,"Action, Thriller",Child Protective Services officer and former Marine Kyle Snowden must save an immigrant child from a dangerous criminal who has trapped them and other hostages inside a neighborhood store owned by Kyleâs controversial stepfather Congressman Sam Nelson.,3.5,2021
s49,TV Show,Roots Less Traveled,,,,2021-10-10,2020,TV-G,1 Season,Reality,"Pairs of family members, often from different generations, set out on adventures to solve mysteries from their family trees and grow closer as they gain wisdom not only about themselves, but also about how their past has helped shape their present.",8.4,2021
s50,TV Show,Shark Tank,,,United States,2021-10-09,2009,TV-PG,12 Seasons,Reality,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive.",7.7,2021
s51,Movie,Yashahime: Princess Half-Demon,,,Japan,2021-10-09,2020,2 Seasons,,Anime,"Long-lost twins Towa and Setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon Sesshomaru. Joined by Moroha, the daughter of Inuyasha, the three set out on a journey to regain their missing past.",7.0,2021
s52,TV Show,General Hospital,,,United States,2021-10-08,1963,TV-14,1 Season,Drama,"The wealthy Quartermaine family continues to be a looming presence in the town of Port Charles, with interests in much of the city's business. Characters come and go, but viewers can always count on at least one Quartermaine or Spencer to create havoc.",6.6,2021
s53,Movie,Jacinta,,,,2021-10-08,2021,TV-MA,105 min,Documentaries,"An intimate portrait of mothers and daughters and the effects of trauma, Jacinta follows a young woman in and out of prison as she attempts to break free from an inherited cycle of addiction, incarceration, and crime.",7.5,2021
s55,TV Show,Baker's Dozen,,,,2021-10-07,2021,,1 Season,"Cooking & Food, Lifestyle & Culture, Reality","Passionate amateur bakers will go head-to-head with seasoned professionals in each episode of âBakerâs Dozenâ. Join hosts Tamera Mowry-Housley (Emmy-award winning host of ""The Real,"" FOXâs âThe Masked Singerâ and Hallmarkâs âChristmas Comes Twiceâ) and Bill Yosses (Author and former White House Pastry Chef) for this fast-paced competition series that will determine the best baker of all! Which of the 13 bakers has what it takes to create the next viral baking sensation, win the golden rolling pin and take home the cash prize?",7.4,2021
s59,TV Show,Castle,,,,2021-10-06,2009,TV-14,8 Seasons,"Comedy, Crime, Drama","Rick Castle, a famous crime novelist and rockstar of the literary world who finds inspiration for a new character from an unlikely source - the smart, beautiful, no-nonsense Det. Kate Beckett - whether she likes it or not. His fame gives him an all-access pass to her cases and he's working her last nerve. But somehow, together, they're the perfect partners in crime.",8.1,2021
s60,Movie,The Hills Presents: Speidi's Wedding Unveiled,,,,2021-10-05,2009,TV-PG,,"Reality, Teen","The new Mr. and Mrs. Pratt present candid interviews with the cast of Hills, exclusive footage you never saw on the show, a glimpse at the media frenzy surrounding the wedding of the year, and an interview with Kristin Cavallari",5.4,2021
s61,TV Show,America's Funniest Home Videos,,,United States,2021-10-04,1981,TV-PG,2 Seasons,"Comedy, Family","From practical jokes to home improvement plans gone awry, to animal mishaps and just flat out strange behavior, this hilarious show on ABC pulls out all the stops to present everyday people caught on tape in their most embarrassing moments!",6.2,2021
s62,Movie,Maggie's Plan,,,,2021-10-04,2015,R,99 min,"Comedy, Drama, Romance","A young woman (Gerwig) set on having a child, catapults herself into a love triangle with an academic (Hawke) & his eccentric wife (Moore).",6.2,2021
s63,TV Show,The Bradshaw Bunch,,,,2021-10-04,2020,TV-PG,1 Season,Reality,"Legendary quarterback and television-broadcast icon Terry Bradshaw gives us an intimate look at life in the off-season. As husband, father and âPapiâ to the Bradshaw Bunch, we see a side of Terry Bradshaw youâve never seen before",6.0,2021
s64,Movie,The Program,,,,2021-10-04,1993,R,112 min,"Action, Adventure, Drama",An action-packed story about a group of Top 10 college football athletes.,6.5,2021
s65,Movie,Unfaithful,,,,2021-10-04,2002,R,124 min,"Drama, Romance, Thriller",Diane Lane earned a 2002 Best Actress Oscar(R) nomination for her role as a housewife who gets blown into a whirlwind affair.,6.7,2021
s66,Movie,Finding Your Feet,,,United Kingdom,2021-10-03,2017,PG-13,112 min,"Comedy, Drama, Romance","On the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate.",6.8,2021
s68,TV Show,Saturday Night Live,,,United States,2021-10-03,1975,TV-14,23 Seasons,"Comedy, Late Night, Sketch Comedy",NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,8.0,2021
s71,TV Show,The Most Magical Story On Earth: 50 Years of Walt Disney World,,,,2021-10-02,2021,TV-PG,1 Season,News,"Whoopi Goldberg hosts a historical journey spanning half a century and beyond at Walt Disney World, featuring spectacular visuals, musical performances from Christina Aguilera and Halle Bailey, and interviews with iconic actors and athletes.",7.3,2021
s72,Movie,A.I.: Artificial Intelligence,,,,2021-10-01,2001,PG-13,145 min,"Adventure, Drama, Science Fiction","In a future world of scientific advances, humans share their lives with sophisticated companion robots. But when an advanced prototype robot child is programmed to show unconditional love, his human family isn't prepared for it.",7.2,2021
s73,Movie,Air Force One,,,,2021-10-01,1997,R,125 min,"Action, Adventure, Horror",Harrison Ford and Gary Oldman star in Wolfgang Petersen's thriller about the hijacking of Air Force One with the First Family on board.,6.5,2021
s75,TV Show,Asylum,,,,2021-10-01,2021,,1 Season,Documentaries,"Asylum is an intimate look at the dreams, prayers, and realities of two fathers seeking refuge in the U.S. â revealing that, after the harrowing roads that brought them to the country of their dreams, asylum is often elusive.",6.1,2021
s76,TV Show,Big Sky,,,United States,2021-10-01,2020,TV-14,2 Seasons,"Crime, Drama","Storyteller David E. Kelly (""Big Little Lies"") presents a series about private detectives Cassie Dewell and Cody Hoyt, who join forces with Cody's estranged wife and ex-cop, Jenny Hoyt, to search for two sisters who have been kidnapped by a truck driver on a remote highway in Montana. When they discover that these are not the only girls who have disappeared in the area, they must race against the clock to stop the killer before another woman is taken. Based on the series of books by C.J. Box, the series stars Katheryn Winnick, Kylie Bunbury and Ryan Phillippe.",6.8,2021
s77,TV Show,Bite Size Halloween,,,,2021-10-01,2020,,2 Seasons,Horror,A series of stand-alone horror shorts ranging from the terrifying to the ridiculous.,6.0,2021
s79,Movie,Boxcar Bertha,,,,2021-10-01,1972,R,89 min,"Crime, Drama","Set in the Depression era of the 1930s, a young woman and three men rob trains and plan a kidnapping. The men are caught and the young woman becomes a prostitute. Based on ""Sister of the Road"" by Boxcar Bertha Thomson.",6.0,2021
s80,TV Show,Cake,,,United States,2021-10-01,2019,TV-MA,5 Seasons,Comedy,"""Cake"" is a handcrafted assortment of bite-sized content served up to viewers as a tasty treat for the mind. Featuring a diverse array of narratives from storytellers both new and established with eclectic points of view, the carefully curated half-hour showcase features both live-action and animated comedy programs of varied length that are equal parts thought-provoking, laugh-inducing, artistic, authentic and raw (not to mention, totally gif-able). There's something for everyone and plenty to go around.",7.3,2021
s81,Movie,Cedar Rapids,,,,2021-10-01,2011,R,87 min,Comedy,"A weekend insurance convention proves to be a hotbed of sex, booze and buffoonery for a naive young man in this comedy.",6.3,2021
s82,Movie,Chasing Papi,,,,2021-10-01,2003,PG,80 min,"Comedy, Drama, Romance",A Latino Casanova courts three Hispanic women in three different cities...until they find out about one another in this comedy.,4.8,2021
s83,Movie,Class,,,,2021-10-01,1983,R,99 min,"Comedy, Drama","Complications arise when a lucky, lustful prep school teen gets a chance to lose his innocence to an older woman.",6.0,2021
s84,Movie,Clifford,,,,2021-10-01,1994,PG,90 min,"Comedy, Family, Kids",Martin Short is hilarious as a bratty 10-year-old kid who wreaks havoc while visiting his hapless uncle Charles Grodin in this comedy.,5.5,2021
s85,Movie,Clockstoppers,,,,2021-10-01,2002,PG,94 min,"Action, Adventure, Comedy",High-school teen Jesse Bradford tries out his scientist dad's new invention: a watch that can freeze time.,5.2,2021
s86,Movie,Code 46,,,,2021-10-01,2004,R,93 min,"Drama, Romance, Science Fiction",Tim Robbins is an investigator in a dystopian future whose attraction to a mysterious woman lands him on the wrong side of the law.,6.1,2021
s87,Movie,Crimson Tide,,,,2021-10-01,1995,R,116 min,"Drama, Horror, Thriller",Gene Hackman and Denzel Washington star as a submarine commander and his top lieutenant who wind up in a standoff during a nuclear crisis.,7.3,2021
s88,Movie,Date Night Extended Version,,,,2021-10-01,2010,PG-13,102 min,"Action, Adventure, Comedy",Steve Carell and Tina Fey are a couple whose wild night out injects some much-needed spark â and some serious danger â into their marriage.,8.5,2021
s89,Movie,Dead of Winter,,,,2021-10-01,1987,R,101 min,"Horror, Thriller",An out-of-work actress is lured to an isolated house for an audition that takes a horrifying twist in this horror thriller.,6.2,2021
s90,Movie,Diary of a Wimpy Kid: Rodrick Rules,,,,2021-10-01,2011,PG,100 min,"Comedy, Family, Kids",Young underdog Greg Heffley is back for torment at the hands of his brother Rodrick and more in this second hilarious flick in the series.,6.6,2021
s91,Movie,"Double, Double, Toil and Trouble",,,,2021-10-01,1993,,97 min,"Adventure, Family, Kids","Determined twins (Mary-Kate Olsen, Ashley Olsen) try to trick an evil aunt (Cloris Leachman) out of a magic moonstone and save their family home.",5.8,2021
s92,Movie,Dr. No,,,United Kingdom,2021-10-01,1962,PG,110 min,"Action, Adventure","On a mission in Jamaica, ultra-suave Agent 007 finds mad scientist Dr. No concocting a plot to derail the U.S. space program and take over the world.",7.2,2021
s93,Movie,Edge of the World,,,,2021-10-01,2021,,104 min,"Adventure, Drama, History","The true story of British adventurer Sir James Brooke, who fought pirates, slavers and headhunters to rule a jungle kingdom larger than England in 1840's Borneo.",5.4,2021
s94,Movie,Escape from Alcatraz,,,United States,2021-10-01,1979,PG,112 min,"Action, Crime, Drama",Based on true events! A hardened convict engineers an elaborate plan to escape infamous Alcatraz Prison - a feat nobody had successfully accomplished before. Directed by Don Siegel (Dirty Harry).,7.6,2021
s95,Movie,Exorcist: The Beginning,,,,2021-10-01,2004,R,113 min,Horror,Prequel. Exorcist: The Beginning traces the story of Father Merrin back to his first encounter with the Devil during his missionary work in Africa.,5.1,2021
s96,Movie,Flatliners,,,,2021-10-01,1990,R,114 min,"Drama, Horror, Science Fiction","Julia Roberts, Kiefer Sutherland and Kevin Bacon star in this ""edge of your seat"" thriller as medical students who push themselves to the boundaries of life itself and touch the face of death. This offbeat drama is directed by Joel Schumacher.",6.5,2021
s97,Movie,From Russia With Love,,,United Kingdom,2021-10-01,1964,PG,115 min,"Action, Adventure, Classics",Bond is back and he's paying the price for his previous adventure when SPECTRE lured him into a deadly trap to avenge the death of Dr. No. Will Bond's mission to find a Russian coding machine be his last?,7.3,2021
s98,Movie,GoldenEye,,,"United Kingdom, United States",2021-10-01,1995,PG-13,130 min,"Action, Adventure, Thriller","Bond is thrown right into the action before the title song with an eye-opening cliff dive onto a plane. Sporting his signature debonair attitude and pricey gadgets, Bond investigates the destruction of a Russian satellite base.",7.2,2021
s99,Movie,Goldfinger,,,United Kingdom,2021-10-01,1965,PG,110 min,"Action, Adventure, Classics","007 is pitted against Auric Goldfinger, who plots to render the gold supply at Fort Knox worthless with radioactivity, thereby increasing tenfold the value of his own gold supply to make him the richest, most powerful man on Earth.",7.7,2021
s100,Movie,Happy Feet,,,,2021-10-01,2006,TV-PG,101 min,"Action, Adventure, Comedy",An emperor penguin expresses himself through tap-dancing.,6.4,2021
s101,Movie,Happy Feet Two,,,,2021-10-01,2011,PG,100 min,"Adventure, Comedy, Family",Tap-dancing penguin Mumble is now a daddy...and he's got an equally unique (and talented) son to help in this fun-filled family sequel.,5.8,2021
s102,Movie,House of Games,,,,2021-10-01,1987,R,102 min,Thriller,"An uptight female psychiatrist (and best-selling author) attempts to intercede with a con man on behalf of one of her patients, a compulsive gambler who owes him several thousand dollars.",7.2,2021
s103,Movie,Intersection,,,,2021-10-01,1994,R,99 min,"Drama, Romance","In the wake of a terrible car wreck, award-winning architect Vincent Eastman sees his life in flashbacks, recalling his separation from his beautiful but aloof wife and his affair with a joyful and passionate journalist.",5.4,2021
s104,Movie,License to Kill,,,"United Kingdom, Mexico, United States",2021-10-01,1989,PG-13,133 min,"Action, Adventure","This 16th James Bond outing finds Agent 007 defying his superiors and operating without his infamous âlicense to killâ when he takes revenge upon a Colombian drug kingpin, after the guy maims Bondâs best friend/former CIA agent and kills his new bride.",5.5,2021
s105,Movie,Light It Up,,,,2021-10-01,1999,R,99 min,"Black Stories, Drama, LGBTQ+","The topical story of a group of high school students who form a protest when they become fed up with their school's poor conditions. After a shot is accidentally fired and a police officer is wounded, the resulting stand-off results in a media frenzy that pits the dirt-digging media against the well-intentioned students.",6.0,2021
s106,Movie,Lost In Space,,,United States,2021-10-01,1998,PG-13,130 min,"Action, Adventure, Science Fiction","A family of space colonists, their pilot and a diabolical stowaway scientist become hopelessly lost beyond the galaxy when their mission is sabotaged.",7.3,2021
s107,Movie,Mad Max,,,,2021-10-01,1979,R,93 min,"Action, Adventure, Science Fiction",A chilling drama that combines a futuristic plot with high speed car and motorcycle action. A strange apocalyptic death game between nomadic bikers and a handful of cops.,7.6,2021
s108,Movie,Madhouse,,,,2021-10-01,2004,,91 min,"Horror, Thriller","When a staff nurse is murdered at a notorious insane asylum, Clark Stevens, a new psychiatry intern, starts digging for answers and soon realizes that there is something very wrong with the people at the asylum, and it's not just the patients.",6.2,2021
s109,Movie,Maze,,,"Ireland, United Kingdom, Germany, Sweden",2021-10-01,2017,93 min,,"Action, Adventure, Crime","Based on the incredible true story of the 1983 mass break-out of 38 IRA prisoners from the HMP Maze high security prison, one prisoner engineers the largest European prison escape since World War II.",6.8,2021
s110,Movie,My Best Friend's Wedding,,,United States,2021-10-01,1997,PG-13,105 min,"Comedy, Romance","When a successful food critic learns that her former boyfriend/best friend is getting married, she stops at nothing to clench her own happiness. Stars Julia Roberts, Dermot Mulroney and Cameron Diaz.",6.3,2021
s111,Movie,Peeples,,,,2021-10-01,2013,PG-13,95 min,"Comedy, Romance",Sparks fly when Wade Walker (Craig Robinson) crashes the preppy Peeples annual reunion in the Hamptons to ask for their precious daughter Grace's (Kerry Washington) hand in marriage,5.4,2021
s112,Movie,Queen of the Damned,,,,2021-10-01,2002,R,101 min,Horror,"After a decades-long slumber, the vampire Lestat becomes a rock star whose music awakens the queen of all vampires, Akasha, who embarks on a mission to make Lestat her king.",5.3,2021
s113,Movie,Racing With the Moon,,,,2021-10-01,1984,PG,108 min,"Comedy, Drama, Romance","On the brink of adulthood in small-town Northern California, teens Henry and Nicky try to have a last hurrah before joining the Marines, who are off fighting in World War II. Soon the two youngsters find themselves in a grown-up world all too quickly.",6.6,2021
s114,Movie,Remo Williams: The Adventure Begins,,,,2021-10-01,1985,PG-13,121 min,"Action, Adventure",A New York City cop is recruited by a super-secret quasi-governmental agency to avenge society's wrongs by being trainded by a Korean Sinanju master.,6.4,2021
s115,Movie,Resident Evil: Retribution,,,,2021-10-01,2012,R,96 min,"Action, Adventure, Horror",Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,5.3,2021
s116,Movie,Rushmore,,,,2021-10-01,1998,R,93 min,"Comedy, Teen",An overachieving prep-school youth wages war for the affections of a pretty teacher in this Wes Anderson comedy.,7.6,2021
s118,Movie,Signs,,,,2021-10-01,2002,PG-13,107 min,"Horror, Science Fiction, Thriller",Unexplained crop circles foreshadow frightening events for a Farmer (Mel Gibson) and his family.,6.8,2021
s119,Movie,Sleepless in Seattle,,,,2021-10-01,1993,PG,105 min,"Comedy, Romance",A man's son calls into a radio show to find his widowed father a new wife.,6.8,2021
s120,Movie,Snatch,,,,2021-10-01,2000,R,103 min,"Action, Adventure, Comedy","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond in this crime comedy.",8.2,2021
s121,Movie,Species,,,,2021-10-01,1995,R,109 min,"Horror, Science Fiction, Thriller",A gorgeous human/alien mutant escapes and goes on a bloody rampage of mating and murder in this gripping sci-fi thriller.,5.9,2021
s122,Movie,Species II,,,,2021-10-01,1998,R,93 min,"Action, Adventure, Horror",An astronaut returns from Mars carrying deadly alien DNA that spawns bloodthirsty mutants in this scary sequel.,4.5,2021
s123,Movie,Species III,,,,2021-10-01,2004,R,112 min,"Action, Adventure, Drama","In the ongoing fight for supremacy between mankind and the human-alien hybrids, a fatal hybrid weakness has given humans the advantage.",4.2,2021
s124,Movie,Species: The Awakening,,,,2021-10-01,2007,TV-MA,98 min,"Science Fiction, Thriller",A college professor discovers she's actually a human/alien hybrid whose monstrous side begins to emerge in this fourth 'Species' film.,3.9,2021
